,size,price,date,product,release_date,color,release_price,number,transactions,wish,review
109,235,200000,2021-11-08,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
110,250,175000,2021-11-08,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
111,245,168000,2021-11-09,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
112,235,190000,2021-11-22,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
113,235,200000,2021-12-04,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
114,250,220000,2021-12-07,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
115,235,192000,2021-12-08,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
116,235,193000,2021-12-09,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
117,240,180000,2021-12-15,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
118,245,155000,2021-12-17,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
119,245,149000,2021-12-20,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
120,245,150000,2021-12-20,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
121,240,199000,2021-12-21,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
122,245,164000,2021-12-21,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
123,240,200000,2021-12-22,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
124,235,249000,2021-12-24,(GS) Nike Dunk Low Retro Championship Red,2021-07-30,UNIVERSITYRED/WHITE-TOTALORANGE,-,41269,33,416,6
125,235,199000,2021-04-28,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
126,240,250000,2021-04-28,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
127,235,196000,2021-04-28,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
128,235,194000,2021-04-28,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
129,225,180000,2021-04-28,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
130,240,200000,2021-04-28,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
131,230,139000,2021-04-28,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
132,230,135000,2021-04-28,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
133,230,134000,2021-04-28,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
134,230,130000,2021-04-28,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
135,235,135000,2021-04-28,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
136,230,149000,2021-04-29,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
137,235,145000,2021-04-29,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
138,235,135000,2021-04-29,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
139,225,135000,2021-04-29,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
140,235,145000,2021-04-29,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
141,245,140000,2021-04-29,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
142,230,130000,2021-04-29,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
143,225,135000,2021-04-29,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
144,230,135000,2021-04-29,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
145,245,140000,2021-04-29,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
146,240,130000,2021-04-29,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
147,235,139000,2021-04-29,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
148,240,140000,2021-04-29,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
149,240,142000,2021-04-29,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
150,240,145000,2021-04-29,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
151,225,132000,2021-04-29,(GS) Nike Dunk Low SE Free.99 Black,2021-04-28,BLACK/DARKCHOCOLATE/COPA/PINKFOAM,"109,000원",23446,464,382,33
